price,signal
69899.2,0
69899.1,0
69899.1,0
69894.2,0
69894.1,0
69894.1,0
69894.1,0
69885.7,0
69885.8,0
69891.8,0
69892.3,0
69892.4,0
69925.4,0
69925.4,0
69925.3,0
69930.8,0
69930.7,0
69930.8,0
69930.7,0
69932.3,0
69932.3,0
69932.3,0
69932.3,0
69932.2,0
69932.2,0
69932.2,0
69932.2,0
69932.3,0
69932.3,0
69932.3,0
69932.3,0
69921.8,0
69912.8,0
69912.9,0
69912.9,0
69912.8,0
69912.9,0
69912.8,0
69912.8,0
69912.8,0
69912.8,0
69912.8,0
69912.9,0
69912.8,0
69912.9,0
69912.8,0
69912.8,0
69912.8,0
69912.8,0
69912.8,0
69912.8,0
69912.9,0
69912.8,0
69912.8,0
69912.9,0
69912.9,0
69922.4,0
69922.5,0
69922.4,0
69922.4,0
69922.5,0
69922.4,0
69922.4,0
69922.4,0
69921.5,0
69914.9,0
69914.9,0
69911.6,0
69911.6,0
69911.6,0
69911.6,0
69896.1,0
69896.1,0
69906.5,0
69906.6,0
69906.5,0
69906.5,0
69906.6,0
69906.9,0
69906.9,0
69906.9,0
69906.9,0
69906.9,0
69906.9,0
69906.6,0
69906.6,0
69898.1,0
69898,0
69898.1,0
69898.1,0
69883,0
69880,0
69880.1,0
69880,0
69880.1,0
69880,0
69866.3,0
69866.3,0
69866.3,0
69866.3,0
69866.3,0
69866.3,0
69866.3,0
69866.4,0
69873.2,0
69872.3,0
69870.5,0
69870.4,0
69870.5,0
69872.8,0
69872.9,0
69872.8,0
69872.9,0
69878.3,0
69869.2,0
69872.4,0
69872.3,0
69869.2,0
69869.2,0
69869.3,0
69869.1,0
69860,0
69855,0
69854.9,0
69854.9,0
69850.1,0
69850.1,0
69852.9,0
69852.9,0
69853,0
69857.9,0
69858,0
69852.1,0
69852.1,0
69852.1,0
69850.1,0
69850.1,0
69850,0
69845.8,0
69845.8,0
69845.9,0
69845.9,0
69845.9,0
69845.8,0
69845.9,0
69835.6,0
69835.7,0
69835.7,0
69835.7,0
69835.7,0
69835.6,0
69835.7,0
69835.6,0
69835.7,0
69835.7,0
69835.6,0
69835.6,0
69835.6,0
69835.8,0
69838.7,0
69838.8,0
69838.8,0
69838.7,0
69838.8,0
69838.8,0
69834,0
69834,0
69834,0
69834,0
69834.1,0
69834.1,0
69834,0
69834.9,0
69834.9,0
69834.9,0
69835,0
69834.9,0
69834.9,0
69834.9,0
69840,0
69844.7,0
69844.7,0
69844.8,0
69844.8,0
69844.8,0
69844.7,0
69844.7,0
69845.5,0
69848,0
69848,0
69848,0
69856,0
69856,0
69856,0
69856,0
69864,0
69867.4,0
69872,0
69871.9,0
69872,0
69871.9,0
69871.9,0
69871.9,0
69872,0
69871.9,0
69867.7,0
69857.2,0
69857.1,0
69857.1,0
69854.2,0
69854.2,0
69854.3,0
69854.2,0
69854.3,0
69854.2,0
69858.2,0
69858.2,0
69858.2,0
69858.2,0
69858.2,0
69858.2,0
69858.2,0
69856.9,0
69857,0
69856.9,0
69856.9,0
69856.8,0
69850,0
69850.1,0
69850.1,0
69844.9,0
69844.8,0
69844.9,0
69849.8,0
69852,0
69852.1,0
69856.5,0
69856.5,0
69856.5,0
69856.5,0
69848.4,0
69848.3,0
69848.4,0
69858.2,0
69858.2,0
69858.2,0
69858.3,0
69862,0
69863.9,0
69863.9,0
69864,0
69863.9,0
69863.9,0
69864,0
69863.9,0
69864,0
69867.3,0
69867.4,0
69869.9,0
69870,0
69869.9,0
69870,0
69869.9,0
69870,0
69870,0
69870,0
69870,0
69870,0
69869.9,0
69869.9,0
69869.9,0
69869.9,0
69870,0
69870,0
69870,0
69869.9,0
69870,0
69869.9,0
69870,0
69870,0
69870,0
69870,0
69870,0
69869.9,0
69870.6,0
69870.6,0
69870.6,0
69870.6,0
69870.6,0
69870.6,0
69870.6,0
69870.6,0
69870.6,0
69870.6,0
69870.7,0
69871.9,0
69872,0
69872,0
69876.8,0
69876.8,0
69876.7,0
69876.8,0
69876.8,0
69876.8,0
69876.8,0
69876.7,0
69876.8,0
69876.7,0
69876.7,0
69876.7,0
69876.8,0
69876.8,0
69876.7,0
69876.8,0
69876.7,0
69876.8,0
69876.7,0
69876.8,0
69887.2,0
69890,0
69890,0
69889.9,0
69889.9,0
69892,0
69892,0
69891.9,0
69892.5,0
69892.6,0
69892.6,0
69892.6,0
69892.6,0
69892.6,0
69892.5,0
69892.6,0
69892.6,0
69892.6,0
69892.6,0
69892.6,0
69892.5,0
69892.5,0
69892.5,0
69892.6,0
69892.5,0
69892.6,0
69895,0
69895,0
69894.9,0
69895,0
69900,0
69907.3,0
69907.4,0
69907.3,0
69908.7,0
69908.7,0
69910.1,0
69910.1,0
69910,0
69910,0
69910.1,0
69910.1,0
69910.1,0
69910.1,0
69910,0
69910.1,0
69917.9,0
69920,0
69920,0
69920,0
69920,0
69920,0
69920,0
69922.5,0
69928.8,0
69935.5,0
69935.4,0
69935.5,0
69935.4,0
69936.3,0
69937.7,0
69938.4,0
69949.9,0
69950,0
69950,0
69950,0
69950.6,0
69950.6,0
