signal,pc_ch
0,0.0
0,-7.010104565019493e-05
0,-1.4307338804808722e-06
0,0.0
0,0.0
0,-0.00012018181792183835
0,1.430907896837752e-06
0,8.58543509554277e-05
0,7.153915051461013e-06
0,1.4307727744800047e-06
0,0.0004721543400998396
0,0.0
0,-1.4300955016866013e-06
0,7.86553650824473e-05
0,-1.4299850710219886e-06
0,1.4299871158307553e-06
0,-1.4299850710219886e-06
0,2.287979385307004e-05
0,0.0
0,0.0
0,0.0
0,-1.4299543988904873e-06
0,0.0
0,0.0
0,0.0
0,1.429956443699254e-06
0,0.0
0,0.0
0,0.0
0,-0.00015014521186917928
0,-0.00012871522186208573
0,1.4303532398507457e-06
0,0.0
0,-1.4303511940427782e-06
0,1.4303532398507457e-06
0,-1.4303511940427782e-06
0,0.0
0,0.0
0,0.0
0,0.0
0,1.4303532398507457e-06
0,-1.4303511940427782e-06
0,1.4303532398507457e-06
0,-1.4303511940427782e-06
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,1.4303532398507457e-06
0,-1.4303511940427782e-06
0,0.0
0,1.4303532398507457e-06
0,0.0
0,0.00013588336344216856
0,1.4301568596053471e-06
0,-1.4301548143524911e-06
0,0.0
0,1.4301568596053471e-06
0,-1.4301548143524911e-06
0,0.0
0,0.0
0,-1.2871411736337102e-05
0,-9.439156768675794e-05
0,0.0
0,-4.720023914772664e-05
0,0.0
0,0.0
0,0.0
0,-0.00022170855766423525
0,0.0
0,0.00014879227882524937
0,1.4304821440713766e-06
0,-1.43048009781932e-06
0,0.0
0,1.4304821440713766e-06
0,4.291440293124893e-06
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,-4.291421876634338e-06
0,0.0
0,-0.00012159080830709268
0,-1.430654052225755e-06
0,1.4306560989219008e-06
0,0.0
0,-0.00021602876186910258
0,-4.292889543955347e-05
0,1.4310246136961524e-06
0,-1.4310225658897835e-06
0,1.4310246136961524e-06
0,-1.4310225658897835e-06
0,-0.00019605037206638087
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,1.4313052214554034e-06
0,9.732861575817431e-05
0,-1.2880474917320583e-05
0,-2.576128165243663e-05
0,-1.4312191841669986e-06
0,1.4312212326395013e-06
0,3.29180412335095e-05
0,1.4311720726301047e-06
0,-1.4311700242686243e-06
0,1.4311720726301047e-06
0,7.72831813193875e-05
0,-0.00013022640791215956
0,4.579986603525654e-05
0,-1.4311802656319372e-06
0,-4.436665173479515e-05
0,0.0
0,1.4312458136434003e-06
0,-2.862487530230773e-06
0,-0.00013024355544877242
0,-7.157171485827618e-05
0,-1.431536754803453e-06
0,0.0
0,-6.871386259210688e-05
0,0.0
0,4.008584096504286e-05
0,0.0
0,1.4315797913777573e-06
0,7.014730934962188e-05
0,1.431477327562547e-06
0,-8.445704142678867e-05
0,0.0
0,0.0
0,-2.8631923736033293e-05
0,0.0
0,-1.4316371773626102e-06
0,-6.012884753037184e-05
0,0.0
0,1.4317253147488884e-06
0,0.0
0,0.0
0,-1.431723264944118e-06
0,1.4317253147488884e-06
0,-0.00014746749630245581
0,1.4319344288082902e-06
0,0.0
0,0.0
0,0.0
0,-1.431932378337386e-06
0,1.4319344288082902e-06
0,-1.431932378337386e-06
0,1.4319344288082902e-06
0,0.0
0,-1.431932378337386e-06
0,0.0
0,0.0
0,2.8638688576165805e-06
0,4.152597951190273e-05
0,1.4318708683180859e-06
0,0.0
0,-1.431868817958204e-06
0,1.4318708683180859e-06
0,0.0
0,-6.87297032595513e-05
0,0.0
0,0.0
0,0.0
0,1.4319672365648017e-06
0,0.0
0,-1.4319651860938976e-06
0,1.288770512930526e-05
0,0.0
0,0.0
0,1.4319487822156418e-06
0,-1.4319467316337153e-06
0,0.0
0,0.0
0,7.302938788500413e-05
0,6.729667812144235e-05
0,0.0
0,1.4317478636005632e-06
0,0.0
0,0.0
0,-1.4317458136847705e-06
0,0.0
0,1.1453982907916327e-05
0,3.579328661107439e-05
0,0.0
0,0.0
0,0.0001145344175925711
0,0.0
0,0.0
0,0.0
0,0.00011452130096190061
0,4.866597961750152e-05
0,6.583900359835582e-05
0,-1.4311884589668367e-06
0,1.4311905072172948e-06
0,-1.4311884589668367e-06
0,0.0
0,0.0
0,1.4311905072172948e-06
0,-1.4311884589668367e-06
0,-6.0110001302349225e-05
0,-0.00015028403682959546
0,-1.4314916714219805e-06
0,0.0
0,-4.151331790192003e-05
0,0.0
0,1.4315531493558353e-06
0,-1.4315510999951542e-06
0,1.4315531493558353e-06
0,-1.4315510999951542e-06
0,5.7262125970902744e-05
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,-1.860912534257242e-05
0,1.431497819170957e-06
0,-1.4314957700323205e-06
0,0.0
0,-1.4314978189489125e-06
0,-9.734199104460828e-05
0,1.431639226945336e-06
0,0.0
0,-7.44451332211904e-05
0,-1.4317437635469332e-06
0,1.4317458134627259e-06
0,7.015544442046107e-05
0,3.1496153174437325e-05
